address,2022-4-1_quezhen,2022-4-1_wuzhengzhuang,2022-4-2_quezhen,2022-4-2_wuzhengzhuang,2022-4-3_quezhen,2022-4-3_wuzhengzhuang,2022-4-4_quezhen,2022-4-4_wuzhengzhuang,2022-4-5_quezhen,2022-4-5_wuzhengzhuang,2022-4-6_quezhen,2022-4-6_wuzhengzhuang,2022-4-7_quezhen,2022-4-7_wuzhengzhuang,2022-4-8_quezhen,2022-4-8_wuzhengzhuang,2022-4-9_quezhen,2022-4-9_wuzhengzhuang,2022-4-10_quezhen,2022-4-10_wuzhengzhuang,2022-4-11_quezhen,2022-4-11_wuzhengzhuang,2022-4-12_quezhen,2022-4-12_wuzhengzhuang,2022-4-13_quezhen,2022-4-13_wuzhengzhuang,2022-4-14_quezhen,2022-4-14_wuzhengzhuang,2022-4-15_quezhen,2022-4-15_wuzhengzhuang,2022-4-16_quezhen,2022-4-16_wuzhengzhuang,2022-4-17_quezhen,2022-4-17_wuzhengzhuang,2022-4-18_quezhen,2022-4-18_wuzhengzhuang,2022-4-19_quezhen,2022-4-19_wuzhengzhuang,2022-4-20_quezhen,2022-4-20_wuzhengzhuang,2022-4-21_quezhen,2022-4-21_wuzhengzhuang,2022-4-22_quezhen,2022-4-22_wuzhengzhuang,2022-4-23_quezhen,2022-4-23_wuzhengzhuang,2022-4-24_quezhen,2022-4-24_wuzhengzhuang,2022-4-25_quezhen,2022-4-25_wuzhengzhuang,2022-4-26_quezhen,2022-4-26_wuzhengzhuang,2022-4-27_quezhen,2022-4-27_wuzhengzhuang,2022-4-28_quezhen,2022-4-28_wuzhengzhuang,2022-4-29_quezhen,2022-4-29_wuzhengzhuang,2022-4-30_quezhen,2022-4-30_wuzhengzhuang,2022-5-1_quezhen,2022-5-1_wuzhengzhuang,2022-5-2_quezhen,2022-5-2_wuzhengzhuang,2022-5-3_quezhen,2022-5-3_wuzhengzhuang,2022-5-4_quezhen,2022-5-4_wuzhengzhuang,2022-5-5_quezhen,2022-5-5_wuzhengzhuang,2022-5-6_quezhen,2022-5-6_wuzhengzhuang,2022-5-7_quezhen,2022-5-7_wuzhengzhuang,2022-5-8_quezhen,2022-5-8_wuzhengzhuang,2022-5-9_quezhen,2022-5-9_wuzhengzhuang,2022-5-10_quezhen,2022-5-10_wuzhengzhuang,2022-5-11_quezhen,2022-5-11_wuzhengzhuang,2022-5-12_quezhen,2022-5-12_wuzhengzhuang,2022-5-13_quezhen,2022-5-13_wuzhengzhuang,2022-5-14_quezhen,2022-5-14_wuzhengzhuang,2022-5-15_quezhen,2022-5-15_wuzhengzhuang,2022-5-16_quezhen,2022-5-16_wuzhengzhuang,2022-5-17_quezhen,2022-5-17_wuzhengzhuang,2022-5-18_quezhen,2022-5-18_wuzhengzhuang,2022-5-19_quezhen,2022-5-19_wuzhengzhuang,2022-5-20_quezhen,2022-5-20_wuzhengzhuang,2022-5-21_quezhen,2022-5-21_wuzhengzhuang
Shanghai,260,6051,438,7788,425,8581,268,13086,311,16766,322,19660,824,20398,1015,22609,1006,23937,914,25173,994,22348,1189,25141,2573,25146,3200,19872,3590,19923,3238,21582,2417,19831,3084,17332,2494,16407,2634,15861,1931,15698,2736,20634,1401,19657,2472,16983,1661,15319,1606,11956,1292,9330,5487,9545,1249,8932,788,7084,727,6606,274,5395,260,4722,261,4390,245,4024,253,3961,215,3760,322,3625,234,2780,228,1259,144,1305,227,1869,194,1487,166,1203,69,869,77,746,96,759,82,637,88,770,84,784,52,570
PudongNew,79,2505,108,1930,140,3514,205,6866,162,7983,151,8306,307,8743,348,6938,517,10613,212,6520,493,7813,192,10857,1139,13888,1252,10404,1142,9140,1002,9789,521,7219,1075,7756,720,4926,756,3709,409,4246,704,7257,541,7085,874,5307,292,3620,206,2539,534,2459,1456,2016,131,1897,37,1588,132,1520,38,1124,49,834,50,839,28,649,33,551,28,647,34,658,20,568,16,247,10,240,17,263,15,172,13,137,3,95,3,86,11,72,13,62,13,69,12,66,10,65
Huangpu,5,255,27,632,14,810,8,962,16,642,9,1035,14,1366,41,2566,101,447,36,1725,117,2106,74,1730,227,1181,268,1745,246,1138,188,1377,186,1710,362,2961,368,2716,252,2845,192,1560,435,2408,96,1863,317,1438,156,2515,301,927,135,1317,1370,1286,250,1149,110,1046,128,984,17,957,27,912,21,754,35,737,60,567,37,575,60,442,36,378,19,245,19,227,23,274,24,219,18,168,10,83,10,79,6,77,9,66,13,53,8,42,0,31
Jingan,11,178,26,298,29,309,1,49,12,290,27,518,22,359,42,623,25,577,29,574,20,532,75,981,49,171,70,196,92,341,143,991,127,715,203,807,205,1528,164,966,150,1914,76,710,40,431,142,1560,131,885,145,1249,32,1057,349,1015,124,1143,110,886,70,632,20,596,17,548,20,525,30,485,16,468,19,529,38,582,22,371,28,191,12,158,35,172,34,150,27,116,10,69,14,48,15,88,13,56,9,142,6,81,4,77
Xuhui,37,602,44,998,34,465,8,1221,23,897,19,1088,43,2033,114,1515,44,1106,46,3157,48,1723,56,1052,143,1349,293,1049,277,1412,170,1362,167,1386,68,504,144,1464,191,1256,347,1019,123,1152,91,1631,228,1168,209,1132,173,731,212,340,527,1053,214,388,136,352,71,371,38,379,26,337,13,317,9,314,19,311,10,289,22,284,21,107,23,60,9,65,5,88,23,82,2,87,4,59,0,52,4,47,4,40,0,37,0,41,0,42
Changning,0,37,7,93,14,90,1,32,6,78,31,319,29,823,20,594,26,731,5,382,25,368,90,1043,105,852,148,850,233,519,127,579,62,677,193,487,53,565,123,603,85,411,164,549,69,658,76,673,97,437,64,355,19,189,263,384,58,319,40,141,33,210,4,147,6,96,5,116,1,86,7,64,3,62,7,70,1,52,2,14,1,39,0,59,0,37,2,48,0,15,0,24,2,16,2,17,0,27,0,18,0,15
Putuo,13,232,39,349,21,300,4,250,7,476,27,1006,11,946,21,1073,24,629,7,994,37,1841,50,1120,45,430,45,219,66,360,145,1186,330,895,21,350,100,428,49,506,94,395,71,452,39,439,43,434,47,371,104,261,24,277,96,139,55,86,27,87,12,83,1,78,8,54,3,88,1,78,5,72,5,51,5,44,7,43,5,25,2,27,2,27,4,24,2,26,2,6,2,8,0,12,2,11,0,20,2,18,0,14
Hongkou,3,58,30,312,11,177,5,603,8,402,1,667,26,568,18,360,12,337,6,1232,25,1350,83,848,121,1367,174,756,287,1210,157,870,266,900,233,859,148,605,102,730,103,782,428,569,82,737,106,549,138,1132,37,1099,68,1023,469,905,22,993,47,544,69,600,18,348,11,347,16,310,15,252,17,262,24,248,54,263,31,238,48,88,18,84,24,79,17,74,3,64,12,57,2,47,6,53,7,67,1,120,7,135,0,129
Yangpu,11,123,19,255,30,344,10,210,11,612,12,618,29,572,12,689,32,1048,61,1816,30,1390,60,1099,54,1131,48,769,275,1136,84,776,26,861,64,417,64,702,202,1803,54,489,88,1268,42,1235,75,1160,65,1179,47,1059,60,466,75,733,27,740,22,320,35,432,34,354,27,394,24,369,47,364,30,395,7,696,18,558,28,355,32,135,34,131,34,515,18,397,18,303,10,321,17,240,25,221,18,190,32,203,40,291,31,138
Baoshan,10,35,35,450,32,435,1,264,7,547,9,651,9,405,29,2792,36,2225,21,1818,47,977,16,279,13,638,50,367,74,1249,51,1242,85,1365,203,827,41,916,107,726,136,842,179,1854,135,2751,135,2371,216,1570,295,1681,52,1063,277,966,130,1067,112,1021,94,889,33,603,34,586,19,440,19,481,21,481,33,312,25,307,25,137,11,131,11,118,19,155,9,145,19,98,5,78,7,71,9,64,2,43,11,38,2,34,3,31
Minhang,57,986,55,774,68,872,11,1370,23,2914,21,2388,95,2162,62,2792,88,4536,102,3087,68,2939,280,3965,372,2567,274,2104,301,1736,890,2170,106,2296,312,1060,389,1213,291,1395,153,2410,208,1097,108,769,143,1086,61,656,71,678,51,270,70,352,144,372,53,378,29,357,28,259,15,237,25,260,9,226,28,281,13,214,9,216,13,315,7,72,3,88,15,128,12,117,6,75,0,35,9,39,2,57,0,52,1,32,1,35,1,11
Jiading,9,191,26,591,14,401,4,233,11,470,6,1402,23,910,116,1389,21,348,71,1334,43,165,42,944,54,667,200,603,173,568,103,582,356,622,72,516,104,639,82,567,80,696,76,424,73,678,132,469,58,485,89,345,13,279,132,356,22,246,41,218,14,254,4,275,4,171,4,211,9,192,3,198,11,108,27,109,17,131,20,14,18,72,42,67,26,37,52,32,10,25,9,18,9,18,10,8,4,2,5,4,2,0
Jinshan,3,46,0,60,4,99,1,51,1,76,3,76,72,57,45,45,44,24,15,42,3,35,3,36,12,22,23,5,21,10,9,12,5,19,3,4,1,8,16,1,8,22,0,26,0,44,0,68,0,22,2,26,10,31,8,20,1,18,0,11,2,12,0,7,0,4,1,2,1,1,3,5,0,0,2,2,0,1,0,0,0,3,0,1,0,7,0,16,1,3,1,5,0,8,0,9,0,1,0,1,0,0
Songjiang,19,474,8,559,6,257,6,553,14,782,2,779,107,644,108,663,10,490,291,1534,21,670,77,635,131,526,178,583,198,575,87,323,153,752,191,571,58,267,165,511,22,471,120,2448,32,741,166,382,108,533,29,258,52,179,252,150,24,110,29,76,12,84,29,39,34,56,55,37,38,45,5,22,22,26,13,27,7,19,6,13,4,10,7,15,3,8,0,6,1,13,2,9,7,12,2,13,1,9,0,6,1,12
Qingpu,0,87,3,228,3,229,1,313,6,378,4,466,4,489,24,318,9,548,1,876,7,324,61,463,99,220,128,176,131,405,46,259,17,352,77,180,72,317,120,160,60,325,44,315,26,398,8,243,44,335,27,284,4,204,137,132,46,110,21,107,24,91,10,84,2,41,4,66,0,56,3,166,3,31,1,48,2,54,11,16,3,34,1,19,9,15,2,26,1,9,1,19,0,14,0,3,0,17,0,12,0,5
Fengxian,2,159,8,149,4,115,2,62,2,142,0,278,31,61,12,85,13,111,11,27,4,64,1,32,2,81,20,15,23,83,23,28,1,19,2,12,2,58,6,26,14,20,6,2,1,15,0,7,3,9,2,11,0,3,3,3,1,25,2,2,1,12,0,10,0,6,0,1,0,11,2,19,0,11,4,2,1,5,0,0,0,5,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Chongming,1,83,3,110,1,164,0,47,2,77,0,63,2,260,3,167,4,167,0,55,6,51,29,57,7,56,29,31,51,41,13,36,9,43,5,21,25,55,8,57,24,96,14,103,26,182,27,68,36,438,14,453,26,173,3,35,0,269,1,307,1,75,0,135,0,99,1,55,3,47,1,99,0,51,3,13,3,6,0,8,0,4,3,6,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0