address,2022/4/1_quezhen,2022/4/1_wuzhengzhuang,2022/4/2_quezhen,2022/4/2_wuzhengzhuang,2022/4/3_quezhen,2022/4/3_wuzhengzhuang,2022/4/4_quezhen,2022/4/4_wuzhengzhuang,2022/4/5_quezhen,2022/4/5_wuzhengzhuang,2022/4/6_quezhen,2022/4/6_wuzhengzhuang,2022/4/7_quezhen,2022/4/7_wuzhengzhuang,2022/4/8_quezhen,2022/4/8_wuzhengzhuang,2022/4/9_quezhen,2022/4/9_wuzhengzhuang,2022/4/10_quezhen,2022/4/10_wuzhengzhuang,2022/4/11_quezhen,2022/4/11_wuzhengzhuang,2022/4/12_quezhen,2022/4/12_wuzhengzhuang,2022/4/13_quezhen,2022/4/13_wuzhengzhuang,2022/4/14_quezhen,2022/4/14_wuzhengzhuang,2022/4/15_quezhen,2022/4/15_wuzhengzhuang,2022/4/16_quezhen,2022/4/16_wuzhengzhuang,2022/4/17_quezhen,2022/4/17_wuzhengzhuang,2022/4/18_quezhen,2022/4/18_wuzhengzhuang,2022/4/19_quezhen,2022/4/19_wuzhengzhuang,2022/4/20_quezhen,2022/4/20_wuzhengzhuang,2022/4/21_quezhen,2022/4/21_wuzhengzhuang,2022/4/22_quezhen,2022/4/22_wuzhengzhuang,2022/4/23_quezhen,2022/4/23_wuzhengzhuang
Shanghai,260,6051,438,7788,425,8581,268,13086,311,16766,322,19660,824,20398,1015,22609,1006,23937,914,25173,994,22348,1189,25141,2573,25146,3200,19872,3590,19923,3238,21582,2417,19831,3084,17332,2494,16407,2634,15861,1931,15698,2736,20634,1401,19657
PudongNew,79,2505,108,1930,140,3514,205,6866,162,7983,151,8306,307,8743,348,6938,517,10613,212,6520,493,7813,192,10857,1139,13888,1252,10404,1142,9140,1002,9789,521,7219,1075,7756,720,4926,756,3709,409,4246,704,7257,541,7085
Huangpu,5,255,27,632,14,810,8,962,16,642,9,1035,14,1366,41,2566,101,447,36,1725,117,2106,74,1730,227,1181,268,1745,246,1138,188,1377,186,1710,362,2961,368,2716,252,2845,192,1560,435,2408,96,1863
Jingan,11,178,26,298,29,309,1,49,12,290,27,518,22,359,42,623,25,577,29,574,20,532,75,981,49,171,70,196,92,341,143,991,127,715,203,807,205,1528,164,966,150,1914,76,710,40,431
Xuhui,37,602,44,998,34,465,8,1221,23,897,19,1088,43,2033,114,1515,44,1106,46,3157,48,1723,56,1052,143,1349,293,1049,277,1412,170,1362,167,1386,68,504,144,1464,191,1256,347,1019,123,1152,91,1631
Changning,0,37,7,93,14,90,1,32,6,78,31,319,29,823,20,594,26,731,5,382,25,368,90,1043,105,852,148,850,233,519,127,579,62,677,193,487,53,565,123,603,85,411,164,549,69,658
Putuo,13,232,39,349,21,300,4,250,7,476,27,1006,11,946,21,1073,24,629,7,994,37,1841,50,1120,45,430,45,219,66,360,145,1186,330,895,21,350,100,428,49,506,94,395,71,452,39,439
Hongkou,3,58,30,312,11,177,5,603,8,402,1,667,26,568,18,360,12,337,6,1232,25,1350,83,848,121,1367,174,756,287,1210,157,870,266,900,233,859,148,605,102,730,103,782,428,569,82,737
Yangpu,11,123,19,255,30,344,10,210,11,612,12,618,29,572,12,689,32,1048,61,1816,30,1390,60,1099,54,1131,48,769,275,1136,84,776,26,861,64,417,64,702,202,1803,54,489,88,1268,42,1235
Baoshan,10,35,35,450,32,435,1,264,7,547,9,651,9,405,29,2792,36,2225,21,1818,47,977,16,279,13,638,50,367,74,1249,51,1242,85,1365,203,827,41,916,107,726,136,842,179,1854,135,2751
Minhang,57,986,55,774,68,872,11,1370,23,2914,21,2388,95,2162,62,2792,88,4536,102,3087,68,2939,280,3965,372,2567,274,2104,301,1736,890,2170,106,2296,312,1060,389,1213,291,1395,153,2410,208,1097,108,769
Jiading,9,191,26,591,14,401,4,233,11,470,6,1402,23,910,116,1389,21,348,71,1334,43,165,42,944,54,667,200,603,173,568,103,582,356,622,72,516,104,639,82,567,80,696,76,424,73,678
Jinshan,3,46,0,60,4,99,1,51,1,76,3,76,72,57,45,45,44,24,15,42,3,35,3,36,12,22,23,5,21,10,9,12,5,19,3,4,1,8,16,1,8,22,0,26,0,44
Songjiang,19,474,8,559,6,257,6,553,14,782,2,779,107,644,108,663,10,490,291,1534,21,670,77,635,131,526,178,583,198,575,87,323,153,752,191,571,58,267,165,511,22,471,120,2448,32,741
Qingpu,0,87,3,228,3,229,1,313,6,378,4,466,4,489,24,318,9,548,1,876,7,324,61,463,99,220,128,176,131,405,46,259,17,352,77,180,72,317,120,160,60,325,44,315,26,398
Fengxian,2,159,8,149,4,115,2,62,2,142,0,278,31,61,12,85,13,111,11,27,4,64,1,32,2,81,20,15,23,83,23,28,1,19,2,12,2,58,6,26,14,20,6,2,1,15
Chongming,1,83,3,110,1,164,0,47,2,77,0,63,2,260,3,167,4,167,0,55,6,51,29,57,7,56,29,31,51,41,13,36,9,43,5,21,25,55,8,57,24,96,14,103,26,182